Sep 07 21:44:14 minikube kubelet[2199]: I0907 21:44:14.721135    2199 topology_manager.go:212] "Topology Admit Handler"
Sep 07 21:48:13 minikube kubelet[2199]: E0907 21:48:13.187955    2199 kuberuntime_manager.go:1212] container &Container{Name:hello-app,Image:us-docker.pkg.dev/google-samples/containers/gke/hello-app:1.0,Command:[],Args:[],WorkingDir:,Ports:[]ContainerPort{ContainerPort{Name:,HostPort:0,ContainerPort:8080,Protocol:TCP,HostIP:,},},Env:[]EnvVar{},Resources:ResourceRequirements{Limits:ResourceList{cpu: {{800 -3} {<nil>} 800m DecimalSI},memory: {{1073741824 0} {<nil>} 1Gi BinarySI},},Requests:ResourceList{cpu: {{200 -3} {<nil>} 200m DecimalSI},memory: {{524288000 0} {<nil>} 500Mi BinarySI},},Claims:[]ResourceClaim{},},VolumeMounts:[]VolumeMount{VolumeMount{Name:kube-api-access-zh2zv,ReadOnly:true,MountPath:/var/run/secrets/kubernetes.io/serviceaccount,SubPath:,MountPropagation:nil,SubPathExpr:,},},LivenessProbe:nil,ReadinessProbe:nil,Lifecycle:nil,TerminationMessagePath:/dev/termination-log,ImagePullPolicy:IfNotPresent,SecurityContext:&SecurityContext{Capabilities:&Capabilities{Add:[],Drop:[ALL],},Privileged:nil,SELinuxOptions:nil,RunAsUser:nil,RunAsNonRoot:nil,ReadOnlyRootFilesystem:nil,AllowPrivilegeEscalation:*false,RunAsGroup:nil,ProcMount:nil,WindowsOptions:nil,SeccompProfile:nil,},Stdin:false,StdinOnce:false,TTY:false,EnvFrom:[]EnvFromSource{EnvFromSource{Prefix:,ConfigMapRef:nil,SecretRef:&SecretEnvSource{LocalObjectReference:LocalObjectReference{Name:case1-secret-7d5855fk5f,},Optional:*false,},},},TerminationMessagePolicy:File,VolumeDevices:[]VolumeDevice{},StartupProbe:nil,ResizePolicy:[]ContainerResizePolicy{},} start failed in pod case1-helloweb-6fb9875467-q725w_case1(6162dcf0-87c2-4417-ba5e-4e2ad428bb3b): RunContainerError: failed to get container "542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6" log path: failed to inspect container "542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6": operation timeout: context deadline exceeded
Sep 07 21:48:13 minikube kubelet[2199]: E0907 21:48:13.188024    2199 pod_workers.go:1294] "Error syncing pod, skipping" err="failed to \"StartContainer\" for \"hello-app\" with RunContainerError: \"failed to get container \\\"542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6\\\" log path: failed to inspect container \\\"542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6\\\": operation timeout: context deadline exceeded\"" pod="case1/case1-helloweb-6fb9875467-q725w" podUID=6162dcf0-87c2-4417-ba5e-4e2ad428bb3b
Sep 07 21:48:15 minikube kubelet[2199]: E0907 21:48:15.077469    2199 remote_runtime.go:415] "ContainerStatus from runtime service failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" containerID="542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6"
Sep 07 21:48:15 minikube kubelet[2199]: E0907 21:48:15.077667    2199 kuberuntime_manager.go:1432] "getPodContainerStatuses for pod failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:48:15 minikube kubelet[2199]: E0907 21:48:15.077719    2199 generic.go:453] "PLEG: Write status" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:49:16 minikube kubelet[2199]: E0907 21:49:16.693803    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m0.627156373s ago; threshold is 3m0s"
Sep 07 21:49:16 minikube kubelet[2199]: E0907 21:49:16.796159    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m0.729656331s ago; threshold is 3m0s"
Sep 07 21:49:16 minikube kubelet[2199]: E0907 21:49:16.996638    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m0.93002079s ago; threshold is 3m0s"

Sep 07 21:49:17 minikube kubelet[2199]: I0907 21:49:17.171114    2199 setters.go:548] "Node became not ready" node="minikube" condition={Type:Ready Status:False LastHeartbeatTime:2023-09-07 21:49:17.170974959 +0000 UTC m=+1962.581166852 LastTransitionTime:2023-09-07 21:49:17.170974959 +0000 UTC m=+1962.581166852 Reason:KubeletNotReady Message:PLEG is not healthy: pleg was last seen active 3m1.104514415s ago; threshold is 3m0s}

Sep 07 21:49:17 minikube kubelet[2199]: E0907 21:49:17.399918    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m1.333417748s ago; threshold is 3m0s"
Sep 07 21:49:18 minikube kubelet[2199]: E0907 21:49:18.200385    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m2.133760624s ago; threshold is 3m0s"
Sep 07 21:49:19 minikube kubelet[2199]: E0907 21:49:19.803526    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m3.736916083s ago; threshold is 3m0s"
Sep 07 21:49:23 minikube kubelet[2199]: E0907 21:49:23.004381    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m6.937755543s ago; threshold is 3m0s"
Sep 07 21:49:28 minikube kubelet[2199]: E0907 21:49:28.005113    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m11.938593212s ago; threshold is 3m0s"
Sep 07 21:49:33 minikube kubelet[2199]: E0907 21:49:33.005709    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m16.939099297s ago; threshold is 3m0s"
Sep 07 21:49:38 minikube kubelet[2199]: E0907 21:49:38.007882    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m21.941292258s ago; threshold is 3m0s"
Sep 07 21:49:43 minikube kubelet[2199]: E0907 21:49:43.012161    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m26.945430344s ago; threshold is 3m0s"
Sep 07 21:49:48 minikube kubelet[2199]: E0907 21:49:48.016853    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m31.949693221s ago; threshold is 3m0s"
Sep 07 21:49:53 minikube kubelet[2199]: E0907 21:49:53.018177    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m36.95112989s ago; threshold is 3m0s"
Sep 07 21:49:58 minikube kubelet[2199]: E0907 21:49:58.019578    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m41.952475351s ago; threshold is 3m0s"
Sep 07 21:50:03 minikube kubelet[2199]: E0907 21:50:03.021029    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m46.953742228s ago; threshold is 3m0s"
Sep 07 21:50:08 minikube kubelet[2199]: E0907 21:50:08.022549    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m51.95552823s ago; threshold is 3m0s"
Sep 07 21:50:13 minikube kubelet[2199]: E0907 21:50:13.022976    2199 kubelet.go:2281] "Skipping pod synchronization" err="PLEG is not healthy: pleg was last seen active 3m56.955927858s ago; threshold is 3m0s"
Sep 07 21:50:14 minikube kubelet[2199]: E0907 21:50:14.107833    2199 remote_runtime.go:415] "ContainerStatus from runtime service failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" containerID="542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6"
Sep 07 21:50:14 minikube kubelet[2199]: E0907 21:50:14.108614    2199 kuberuntime_manager.go:1432] "getPodContainerStatuses for pod failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:50:14 minikube kubelet[2199]: E0907 21:50:14.108679    2199 generic.go:453] "PLEG: Write status" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:50:14 minikube kubelet[2199]: E0907 21:50:14.111549    2199 pod_workers.go:1294] "Error syncing pod, skipping" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w" podUID=6162dcf0-87c2-4417-ba5e-4e2ad428bb3b
Sep 07 21:50:24 minikube kubelet[2199]: E0907 21:50:24.728277    2199 pod_workers.go:1294] "Error syncing pod, skipping" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w" podUID=6162dcf0-87c2-4417-ba5e-4e2ad428bb3b
Sep 07 21:50:35 minikube kubelet[2199]: E0907 21:50:35.693812    2199 pod_workers.go:1294] "Error syncing pod, skipping" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w" podUID=6162dcf0-87c2-4417-ba5e-4e2ad428bb3b
Sep 07 21:50:46 minikube kubelet[2199]: E0907 21:50:46.698505    2199 pod_workers.go:1294] "Error syncing pod, skipping" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w" podUID=6162dcf0-87c2-4417-ba5e-4e2ad428bb3b
